content,date,user,reposts,comments,likes,url
步/步高手机广告……🎧@时代少年团-严浩翔（留下记忆的眼泪🥲）#青年演员严浩翔#​,2024-12-02 22:06,专严养猫,47,12,482,https://weibo.com//weibo.com/1860543902/P32MI9i1y?refer_flag=1001030103_
左奇函超话💙#左奇函 四代首位青年演员#💙#左奇函 四代第一rap担#【电影包场-衡阳应援礼包返图】地点：衡阳蒸湘步步高4F金逸影城电影包场负责人已就位～前来观影的宝宝记得找负责人领取电影票和礼包嗷～ ​,2024-11-23 13:14,左奇函-诗集存档馆,29,115,614,https://weibo.com//weibo.com/7842051004/P1CsegjLw?refer_flag=1001030103_
来看看晚上打折的步步高胖东来我都买了什么​,2024-11-15 23:08,不想上班想当老板的美丽,7,77,271,https://weibo.com//weibo.com/5536809799/P0sVt0LSP?refer_flag=1001030103_
我前段时间的分析，基本兑现。 ​,2024-08-15 13:19,财宝宝,6,133,1090,https://weibo.com//weibo.com/1565668374/OsncVi4PC?refer_flag=1001030103_
从永辉步步高被胖东来爆改就知道股民为啥不挣钱。罗翔老师说：世界就是一个巨大的草台班子大部分人都水到离谱。不信你看，步步高，永辉这种牛气烘烘的商业上市公司，被一个河南三线小城的商超胖东来各种爆改，像个小学生一样聆听于东来的教诲。上市公司听起来挺高大上的，现在看来并非如此，很多盈利 ​展开c,2024-06-13 07:23,王冠群,7,6,48,https://weibo.com//weibo.com/1286900981/OiKX8njDc?refer_flag=1001030103_
12月题材强度排名：AI应用：利欧股份、星环科技、易点天下谷子：广博股份、齐心集团、万事利胖东来：永辉超市、中百集团、步步高商超：供销大集、新世界食品：桂发祥、泉阳泉、黑芝麻、一鸣食品电商：跨境通医药：葫芦娃纺织：洪兴股份华为：华胜天成机器人：南京化纤、山东矿机、 ​展开c,2024-12-02 20:02,徐家川,21,17,110,https://weibo.com//weibo.com/1854441660/P31Ykvrf1?refer_flag=1001030103_
蒲熠星超话#蒲熠星音乐节#和大圆子打卡步步高大屏心动老师太牛了@心动悖论_EazinL正版_烟花三月下洋舟的微博视频​,2024-11-15 13:58,正版_烟花三月下洋舟,4,25,144,https://weibo.com//weibo.com/5864296694/P0pkfDnAS?refer_flag=1001030103_
【#于东来要花50亿建超大商业体#】11月17日晚，胖东来创始人于东来开直播，直播时长约2个半小时，超过400万人观看。在直播中，于东来分享了胖东来的管理理念、对永辉及步步高的调改经验、向山姆学习而非竞争的态度等方面。在谈及胖东来“自由之城”项目时，于东来介绍到，规划中是个超大商业体，规模 ​展开c,2024-11-18 11:28,蓝鲸新闻,168,362,4480,https://weibo.com//weibo.com/1885454921/P0QCM5qAt?refer_flag=1001030103_
#秋之虎狼迎风而上#🐕#rsg十一月步步高#当～当～当～当～偶遇女明星啦皮卡丘：多肉姐姐是有点漂酿rsg电竞俱乐部超话L浙江RSG和平精英分部的微博视频​,2024-11-20 15:38,浙江RSG和平精英分部,19,74,453,https://weibo.com//weibo.com/6144305093/P1b760ozo?refer_flag=1001030103_
分享一个喜木火的网名昵称“豆糕” 🌿豆，充满蓬勃活力，生命力强；糕，甜蜜，快乐，亲和力强。豆糕谐音都高，成绩高，业绩高，步步高，利年轻人上岸，事业。也适合宝宝当小名。#取网名##取昵称#​,2024-11-21 16:45,陶花象,51,93,534,https://weibo.com//weibo.com/2397725164/P1kYHhW6X?refer_flag=1001030103_
🔥点燃你的星座热情，点赞如火如荼，好运如潮涌动！🔥白羊座：如虎添翼，点赞成风，财富之路任你闯！金牛座：桃花盛开，点赞成海，爱情甜蜜如蜜糖！双子座：职场飞跃，点赞如星，成功之门为你开！巨蟹座：真爱降临，点赞如歌，幸福生活你主宰！狮子座：英勇无畏，点赞如剑，未来辉煌你独 ​展开c,2024-11-18 09:26,海底火山珍珠饭,5,2,174,https://weibo.com//weibo.com/1950407950/P0PPkpTWW?refer_flag=1001030103_
Reno13发布会官宣，邀请函也来了！「翅膀」贯穿了整个主题，可以陪你翩翩起舞，也可以带你去人生的旷野，探寻不被定义的生命力。这次代言人是Reno Girl 「蝴蝶仙子」——#宋雨琦#，舞台上绽放的生命力，是对此最贴切的诠释！发布会地点是设在浙江大学，而这里恰恰也是步步高、OPPO、一加三位创始 ​展开c,2024-11-17 14:03,纵有西风起,44,34,234,https://weibo.com//weibo.com/2557459351/P0IdiA7JA?refer_flag=1001030103_
小雪话吉祥小雪节气是你的转折点。宜念诵三遍：“小雪到，事业家庭芝麻开花节节高；小雪到，吉祥如意一天更比一天；小雪到，事事顺心好运连连无烦恼！”小雪后，接收您的：“步步高！”#小雪#​,2024-11-22 09:00,焕祥_81,61,1294,929,https://weibo.com//weibo.com/5214609492/P1rmFCDlv?refer_flag=1001030103_
易烊千玺超话｜#易烊千玺云螭二四逴跞山极#北京是你的第二故乡。你的梦想在这片辽阔的城市版图上一星星的由点及面，汇集成词 成长于歌。不曾到达的胡同，走过一遍又一遍的古巷。与时间赛跑的公交换乘，在靠窗的座椅中 度过孩童时温暖又清冷的冬。日夜交换的年轮中；赤子之心在这片土地 ​展开c,2024-11-21 17:21,易烊千玺河南封闭货车,181,281,464,https://weibo.com//weibo.com/6182340829/P1ldjdn6X?refer_flag=1001030103_
【#于东来炮轰电商和汽车企业家#：都像奴隶一样，一个比一个傻】#于东来称电商汽车企业家都像奴隶#在近日的一场直播中，胖东来创始人于东来在谈及调改步步高、永辉时表示，“调改完成后，他们未来发展需要注意的是‘坚定真诚’，坚定用科学的经营方法。”在于东来看来，企业家就应该更顶天立地地去 ​展开c,2024-11-22 18:50,新浪科技,19,33,1035,https://weibo.com//weibo.com/1642634100/P1vdUtMoK?refer_flag=1001030103_
吃口蛋糕，人生步步高！生而自由，日日欢愉，快意人生，乐得自在2024.12.022深圳​,2024-12-03 00:28,YY天蓝若空,0,0,0,https://weibo.com//weibo.com/2234966003/P33I9zh4o?refer_flag=1001030103_
˗ˋˏ🎂ˎˊ˗ ²⁰²⁴/₁₂.₀₂ᰔᩚ#微博贴纸#吃口小蛋糕，人生步步高🎀 ​,2024-12-03 00:25,Tanmj-,0,1,0,https://weibo.com//weibo.com/5127936813/P33H0vlPv?refer_flag=1001030103_
郴州步步高俄罗斯小姐姐，这个操作惊呆众人。L笔默君的微博视频​,18分钟前 转赞人数超过30,笔默君,6,11,32,https://weibo.com//weibo.com/3167462347/P31Vvk8tq?refer_flag=1001030103_
✨🌷 𝑀𝑦 𝑏𝑖𝑟𝑡ℎ𝑑𝑎𝑦 ོ   ²⁰²⁴🫧🥳 吃口小蛋糕 人生步步高🎀发财，被爱，好运常在吧.ᐟ.ᐟ开启新的一岁啦💐 ​,2024-12-03 00:08,上好佳爱做梦,0,0,0,https://weibo.com//weibo.com/5196671625/P33zLvlDk?refer_flag=1001030103_
拍出经典广告的明星 来回忆一下张含韵 蒙牛酸酸乳小S 清扬洗发水杨幂 溜溜梅张曼玉 Olay宋慧乔 VIVO步步高音乐手机舒淇 朵唯女性手机郭碧婷 益达陈好 香飘飘 ​,36分钟前 转赞人数超过10,青春影视室,1,7,13,https://weibo.com//weibo.com/6267467667/P2UuuAxIc?refer_flag=1001030103_
吃口小蛋糕🎂，人生步步高📈阳历生日快乐～ ​,2024-12-03 00:00,soitsgonnab4ever,0,0,0,https://weibo.com//weibo.com/2245733130/P33wM8rOX?refer_flag=1001030103_
˗ˋˏ🎂ˎˊ˗“吃块小蛋糕 人生步步高” ​,2024-12-02 23:20,蟹不不肉-,0,0,2,https://weibo.com//weibo.com/1802591580/P33gIiLQD?refer_flag=1001030103_
🎂“吃块小蛋糕 人生步步高” ​,2024-12-02 23:13,白壹壹-,0,0,0,https://weibo.com//weibo.com/6304434808/P33dG45fc?refer_flag=1001030103_
🥳 吃口小蛋糕 人生步步高🎀 ​,2024-12-02 22:20,Frances-Lee_,0,0,0,https://weibo.com//weibo.com/2807082232/P32Sj5ZcP?refer_flag=1001030103_
放学等我超话#喻繁生日祈愿##喻繁1202生日快乐##喻繁的生日礼物#˗ˋˏ🎂ˎˊ˗  ²⁰²⁴/₁₂.₀₂“吃块小蛋糕 人生步步高”喻繁，祝我们生日快乐!希望我们都能永远幸福!新的一岁，所有的愿望都要实现买了草莓味的小蛋糕 ​~ ​,2024-12-02 21:49,王木木Wooden,0,0,3,https://weibo.com//weibo.com/7810861009/P32FFoW7D?refer_flag=1001030103_
吃块小蛋糕，人生步步高​,2024-12-02 21:48,就要人生圆满,0,4,3,https://weibo.com//weibo.com/5691082401/P32FexHMK?refer_flag=1001030103_
每晚散步都会走到步步高，然后买一堆熟食吃，会胖死​,2024-12-02 21:31,圈圈努力向前滚,0,0,0,https://weibo.com//weibo.com/2456375047/P32yeoEE4?refer_flag=1001030103_
亲爱的21岁，你好啊👋我不善词章表达，且以快乐为酬答，记得缓疲乏，记得闲聊话，记得接受己瑕，记得停步吻醺霞，而不是捉急赶车马㊗️你灿烂盛大，人生万路总生花🌼。吃口小蛋糕🍰人生步步高✊良辰即刻顺颂时宜昭昭如愿，岁岁安澜👏 ​,2024-12-02 21:24,Delpinea,0,0,1,https://weibo.com//weibo.com/6894940707/P32vM8wLZ?refer_flag=1001030103_
旭凤超话#邓伦旭凤##跟随邓伦学习传统文化#@邓伦凤凰，新月新吉祥，生活，事业步步高，心情愉快人健康，平安稳稳向未来，前途光明坦荡荡！@邓伦@邓伦@邓伦好运常伴，@邓伦万事如意！🙏🙏🙏​,2024-12-02 21:07 转赞人数超过10,祥瑞中华123,0,13,19,https://weibo.com//weibo.com/6992732918/P2U1MgjZz?refer_flag=1001030103_
万事如意年年好，淮水竹亭步步高，我燕京淮竹力挺东方淮竹//@北方有淮竹:红灯停，绿灯行，淮水竹亭一定行 我北方🈶淮竹🎍力挺刘诗诗的东方淮竹​​​,2024-12-02 21:02,下雨刚好带了伞,0,0,0,https://weibo.com//weibo.com/5984449814/P32mDncbY?refer_flag=1001030103_
˗ˋˏ🎂ˎˊ˗吃口小蛋糕 ，人生步步高祝我们家的小可爱 ，四岁快乐♥️ ​,2024-12-02 20:51,落落_j35,0,0,0,https://weibo.com//weibo.com/1738428255/P32ibEkTs?refer_flag=1001030103_
没想到亭江步步高超市要闭店了！在这附近住了十年，没少去逛，看着它从南城百货变成步步高超市。前阵子还学习胖东来，进了很多熟食档口，以为会越来越好，猝不及防就宣布停业了。 ​,2024-12-02 20:41,沈家七姑娘,0,0,0,https://weibo.com//weibo.com/1310017114/P32dVE6Ex?refer_flag=1001030103_
今天整理家找出来步步高和仅存的一盘孩子听过的磁带，还有几盘空白的，是上大学时录听力用的，也曾用来录过孩子讲故事。今晚的任务就是躺着检查一遍空白磁带还有没有录下孩子小时候讲的故事。听着磁带回忆下二十多年前养娃的情景。从小我就给孩子买适龄的各种图书，孩子还不认字时我就给她读，周末早 ​展开c,2024-12-02 20:25,感性的瑞秋,0,0,0,https://weibo.com//weibo.com/6058099956/P327BvZ7k?refer_flag=1001030103_
永辉超市预计将旗下1000家超市陆续胖改。中百集团预计将旗下6000家超市陆续进行胖改。步步高预计将旗下200家超市陆续进行胖改。预计单个胖改后的超市营收是未进行胖改的普通超市的10倍！以前是马云的新零售时代，现在是胖东来的胖改时代。 ​,2024-12-02 20:05,百鑫大佬,0,0,103,https://weibo.com//weibo.com/7818704875/P31Zk1CCP?refer_flag=1001030103_
